Model,Features,Constraints,UVL2Logic Time (s),Variables,Clauses,fastOrder Time (s),Logic2BDD Time (s),BDD Nodes,Configurations,Info
systems_software-soletta-Pett2023-2016-04-26_19-24-05,397,1565,2.0135e-06,397,1962,0.1023,2.7683,169782,1.01e42,
systems_software-BusyBox-Pett2021-2007-12-02_03-27-42,483,516,1.7714e-06,483,999,0.0542,0.109,36041,3.55e110,
security-CVE-VarelaVaca2020-2009-0772,180,147,1.8161e-06,180,169,0.0551,0.0825,699,664,
security-CVE-VarelaVaca2020-2018-7586,128,113,1.6075e-06,128,129,3.0077,3.0755,295,448,
systems_software-BusyBox-Pett2021-2007-07-01_17-05-57,455,481,1.5385e-06,455,936,0.0497,0.0693,10930,1.18e105,
security-CVE-VarelaVaca2020-2016-5258,363,883,2.0564e-06,363,907,0.3118,1.3392,1761,5816,
security-CVE-VarelaVaca2020-2012-1959,165,87,1.7323e-06,165,111,0.0499,0.0627,626,716,
security-CVE-VarelaVaca2020-2019-16520,243,1,1.2573e-06,243,15,35.0248,35.7551,471,920,
systems_software-BusyBox-Pett2021-2008-02-08_18-24-54,501,531,1.4603e-06,501,1032,0.0556,0.0818,19982,1.91e114,
systems_software-BusyBox-Pett2021-2009-10-02_01-29-25,599,653,1.4007e-06,599,1252,0.0632,0.2178,87064,5.53e134,
security-CVE-VarelaVaca2020-2016-1949,332,827,1.3039e-06,332,845,84.0801,84.3117,1336,5716,
security-CVE-VarelaVaca2020-2013-1672,404,805,1.6484e-06,404,839,0.2677,0.5574,2897,6388,
security-CVE-VarelaVaca2020-2012-5836,467,543,1.4137e-06,467,591,0.2663,0.4302,2433,2172,
security-CVE-VarelaVaca2020-2015-7222,350,810,1.1660e-06,350,839,0.3026,0.9892,2329,5744,
security-CVE-VarelaVaca2020-2019-11764,865,1587,2.1700e-06,865,1613,1.4539,5.0537,5404,11068,
systems_software-soletta-Pett2023-2015-07-02_14-40-09,103,182,1.8254e-06,103,285,0.0203,0.0311,262,2.00e18,
systems_software-BusyBox-Pett2021-2008-03-26_13-32-30,536,571,1.7285e-06,536,1107,0.0535,1.0882,3390,5.48e123,
security-CVE-VarelaVaca2020-2012-4204,467,543,1.5572e-06,467,591,0.2668,0.4268,2409,2172,
security-CVE-VarelaVaca2020-2008-2810,108,85,1.1679e-06,108,103,0.0398,0.0574,412,372,
systems_software-eCos-Berger2013-icse11,1245,3146,1.3430e-06,1245,4391,0.4983,Timeout,,,
finance-decisional-Mendonca2009,142,88,1.8049e-06,142,115,0.0417,0.0373,911,2.75e30,
security-CVE-VarelaVaca2020-2013-0750,536,581,1.8962e-06,536,644,0.3068,0.4946,4168,2424,
security-CVE-VarelaVaca2020-2012-1945,162,87,1.5311e-06,162,111,0.0473,0.0638,741,692,
security-CVE-VarelaVaca2020-2019-9788,808,1484,1.4883e-06,808,1510,0.901,4.477,4763,10776,
systems_software-uE250-Berger2013,1250,3810,1.4380e-06,1250,5060,0.7181,Timeout,,,
security-CVE-VarelaVaca2020-2013-1710,461,569,2.1048e-06,461,598,0.2488,0.6586,2562,2368,
systems_software-uClibc-Pett2023-2016-12-23_07-53-31,235,1231,1.5367e-06,235,1466,0.0818,0.1426,14717,2.83e27,
security-CVE-VarelaVaca2020-2011-1300,1246,2428,1.4156e-06,1246,2453,7.2211,134.2236,3708,4884,
security-CVE-VarelaVaca2020-2018-20152,489,461,1.7844e-06,489,479,0.6809,4.2148,1967,2788,
security-CVE-VarelaVaca2020-2013-1685,384,514,1.6149e-06,384,538,0.2223,0.5337,2346,1760,
systems_software-uClibc-Pett2023-2018-01-31_18-44-51,233,1403,1.4789e-06,233,1636,0.0875,0.12,5001,5.84e25,
security-CVE-VarelaVaca2020-2016-10893,120,1,1.6503e-06,120,15,2.7102,2.8716,225,428,
security-CVE-VarelaVaca2020-2013-1708,311,452,2.1644e-06,311,472,0.171,0.4809,1130,1524,
systems_software-uClibc-Pett2023-2009-11-19_18-23-41,247,1739,1.1679e-06,247,1986,0.0884,0.1542,19328,2.11e26,
systems_software-iq80310-Knüppel2017,1271,897,1.3728e-06,1271,2151,0.7392,Timeout,,,
systems_software-Fiasco-Pett2023-2018-12-03_11-39-23,238,1302,1.4231e-06,238,1540,0.0864,0.4646,15112,1.57e8,
security-CVE-VarelaVaca2020-2019-16781,531,507,1.2331e-06,531,521,460.5198,461.9238,1641,3000,
security-CVE-VarelaVaca2020-2009-1304,119,82,1.1083e-06,119,102,0.0379,0.0528,397,424,
systems_software-soletta-Pett2023-2015-11-17_11-53-12,306,985,1.4883e-06,306,1291,0.0551,0.1062,45450,6.05e35,
security-CVE-VarelaVaca2020-2009-1169,112,90,1.6876e-06,112,105,1.5698,1.5929,269,400,
security-CVE-VarelaVaca2020-2016-1971,337,1104,1.6391e-06,337,1126,85.3806,85.5705,1294,10344,
security-CVE-VarelaVaca2020-2016-2824,368,1169,1.7397e-06,368,1201,0.418,1.5405,2666,15072,
security-CVE-VarelaVaca2020-2017-9063,443,416,1.4920e-06,443,434,0.582,3.0269,1758,2468,
security-CVE-VarelaVaca2020-2013-0762,536,581,1.5907e-06,536,644,0.3142,0.5312,4275,2424,
security-CVE-VarelaVaca2020-2015-2730,436,609,1.3188e-06,436,651,0.317,0.9593,5800,120492,
security-CVE-VarelaVaca2020-2018-20980,207,191,1.8310e-06,207,207,17.7469,17.9451,494,768,
systems_software-BusyBox-Pett2021-2008-04-12_20-07-53,537,566,1.5348e-06,537,1103,0.0523,0.1268,59313,2.30e124,
systems_software-uClibc-Pett2023-2015-11-03_18-39-11,245,1163,1.5479e-06,245,1408,0.0703,0.099,2226,1.40e20,
security-CVE-VarelaVaca2020-2012-1949,149,85,1.7677e-06,149,105,0.0464,0.0619,508,668,
security-CVE-VarelaVaca2020-2017-5611,446,414,1.4920e-06,446,435,0.501,2.914,1750,2460,
systems_software-uClibc-Pett2023-2016-09-30_18-43-55,238,1246,1.2275e-06,238,1484,0.0777,0.2011,101288,1.66e28,
security-CVE-VarelaVaca2020-2013-5988,136,1,1.3690e-06,136,15,4.2108,4.2185,257,492,
systems_software-uClibc-Pett2023-2016-01-02_16-57-03,236,1103,1.5572e-06,236,1339,0.0664,0.0923,1343,8.43e19,
systems_software-pc_usb_d12-Berger2013,1282,3231,1.4957e-06,1282,4513,0.6623,Timeout,,,
systems_software-moab-Berger2013,1278,3249,1.4883e-06,1278,4527,0.5882,Timeout,,,
systems_software-BusyBox-Pett2021-2008-09-16_19-35-42,547,568,1.6224e-06,547,1115,0.0539,0.1014,45810,1.52e125,
security-CVE-VarelaVaca2020-2016-2797,392,836,1.5665e-06,392,871,0.3432,1.214,2518,5888,
security-CVE-VarelaVaca2020-2016-2792,392,836,1.5497e-06,392,871,0.3682,1.2243,3054,5888,
security-CVE-VarelaVaca2020-2011-2991,175,131,1.4640e-06,175,153,0.0601,0.1018,659,712,
security-CVE-VarelaVaca2020-2008-0592,103,80,1.6354e-06,103,98,0.0373,0.0533,392,352,
security-CVE-VarelaVaca2020-2016-5259,363,883,1.4789e-06,363,907,0.3085,1.2811,2102,5816,
security-CVE-VarelaVaca2020-2015-4484,340,551,1.7565e-06,340,581,0.2903,0.9155,1461,1308,
systems_software-soletta-Pett2023-2015-11-06_15-06-40,303,973,1.3076e-06,303,1276,0.0573,0.0635,3752,3.05e35,
systems_software-BusyBox-Pett2021-2007-06-11_16-31-55,449,474,1.5385e-06,449,923,0.0517,0.1812,137841,2.08e103,
security-CVE-VarelaVaca2020-2019-14784,202,1,1.1884e-06,202,15,16.7716,17.1069,389,756,
security-CVE-VarelaVaca2020-2016-1972,337,1104,1.7714e-06,337,1126,85.0776,85.6008,1213,10344,
systems_software-smdk2410-Berger2013,1266,50468,2.0880e-06,1266,51734,54.4183,Timeout,,,
systems_software-soletta-Pett2023-2016-03-31_18-28-39,385,1290,1.1548e-06,385,1675,0.0712,0.1384,41107,1.99e40,
security-CVE-VarelaVaca2020-2010-2770,281,437,1.7770e-06,281,469,0.1074,0.174,1321,1036,
systems_software-calm32_ceb-Knüppel2017,1186,830,1.3839e-06,1186,1999,0.6392,Timeout,,,
security-CVE-VarelaVaca2020-2020-13640,123,1,1.0934e-06,123,15,2.9685,2.8797,231,440,
security-CVE-VarelaVaca2020-2010-2767,267,226,1.4454e-06,267,248,0.0925,0.1686,1195,1036,
security-CVE-VarelaVaca2020-2016-1964,551,1004,1.6931e-06,551,1040,0.5426,1.8179,2864,6844,
security-CVE-VarelaVaca2020-2013-1694,384,514,1.6559e-06,384,538,0.2237,0.5051,2338,1760,
systems_software-BusyBox-Pett2021-2010-01-13_18-55-37,611,668,1.7602e-06,611,1279,0.0595,1.2212,40863,2.62e137,
systems_software-h8max-Knüppel2017,1215,849,1.6131e-06,1215,2047,0.8567,Timeout,,,
security-CVE-VarelaVaca2020-2013-6167,259,431,1.4529e-06,259,448,34.0628,34.4519,942,1036,
systems_software-BusyBox-Pett2021-2009-06-10_13-39-35,585,631,1.7509e-06,585,1216,0.0597,1.429,3171,2.83e132,
security-CVE-VarelaVaca2020-2009-0774,180,147,2.0657e-06,180,169,0.058,0.0801,731,664,
systems_software-soletta-Pett2023-2015-06-29_17-08-49,114,195,1.3504e-06,114,309,0.0211,0.0337,251,6.03e16,
systems_software-pc_i82544-Berger2013,1260,3179,1.5590e-06,1260,4439,0.6238,Timeout,,,
security-CVE-VarelaVaca2020-2016-5257,360,894,1.4845e-06,360,914,0.3318,1.4616,1801,5820,
security-CVE-VarelaVaca2020-2009-3986,170,137,1.4380e-06,170,155,0.0646,0.1075,685,628,
security-CVE-VarelaVaca2020-2011-0066,202,174,1.1977e-06,202,192,0.0804,0.1406,703,752,
security-CVE-VarelaVaca2020-2014-8636,404,583,1.3206e-06,404,604,0.2784,0.854,1749,1968,
systems_software-Fiasco-Pett2023-2018-02-09_09-07-43,231,1252,1.8813e-06,231,1483,0.0752,0.1921,6274,2.11e8,
systems_software-uClibc-Pett2023-2011-11-02_16-49-04,244,1316,1.4640e-06,244,1560,0.0778,0.1236,8983,3.20e28,
security-CVE-VarelaVaca2020-2016-5832,388,366,1.5087e-06,388,380,166.8734,167.5782,1192,2188,
systems_software-soletta-Pett2023-2015-06-26_23-05-18,114,199,1.6913e-06,114,313,0.0225,0.032,410,3.05e17,
systems_software-uClibc-Pett2023-2009-09-26_09-37-45,240,1729,1.2722e-06,240,1969,0.0935,0.1569,20498,1.07e25,
security-CVE-VarelaVaca2020-2009-2470,122,103,1.5441e-06,122,117,2.3029,2.4385,293,444,
security-CVE-VarelaVaca2020-2012-0455,293,241,1.5572e-06,293,267,0.1323,0.2574,1478,1144,
security-CVE-VarelaVaca2020-2010-3766,191,163,1.7174e-06,191,181,0.0773,0.1436,662,708,
security-CVE-VarelaVaca2020-2017-14725,456,434,1.4007e-06,456,448,284.9154,284.096,1393,2564,
security-CVE-VarelaVaca2020-2013-5619,411,530,1.4883e-06,411,580,0.2829,0.6331,2112,1836,
systems_software-uClibc-Pett2023-2008-06-27_09-08-44,230,1703,2.0973e-06,230,1933,0.0909,0.1453,4334,7.03e23,
security-CVE-VarelaVaca2020-2020-4047,380,358,1.5385e-06,380,372,154.6644,155.8645,1006,1896,
security-CVE-VarelaVaca2020-2013-5600,475,578,1.3765e-06,475,606,0.2909,0.6516,3356,2332,
security-CVE-VarelaVaca2020-2015-0817,420,593,1.3281e-06,420,615,0.2618,0.9921,1624,2028,
security-CVE-VarelaVaca2020-2007-0008,123,87,1.9800e-06,123,111,0.0359,0.0489,555,400,
systems_software-BusyBox-Pett2021-2008-05-18_14-39-43,536,559,1.5553e-06,536,1095,0.0516,0.0557,8633,1.61e124,
systems_software-BusyBox-Pett2021-2010-01-20_02-47-37,612,670,1.4659e-06,612,1282,0.0677,0.2461,184075,4.83e137,
security-CVE-VarelaVaca2020-2011-2364,127,89,1.1586e-06,127,105,0.0489,0.0821,413,508,
systems_software-BusyBox-Pett2021-2007-08-21_10-58-18,465,491,1.5572e-06,465,956,0.0526,0.0743,10342,2.42e107,
security-CVE-VarelaVaca2020-2014-1585,284,468,1.4752e-06,284,488,0.2099,0.6843,992,1128,
security-CVE-VarelaVaca2020-2019-11709,830,1526,1.3970e-06,830,1552,1.0723,4.5695,5271,10864,
systems_software-BusyBox-Pett2021-2008-02-15_02-27-19,501,531,1.3616e-06,501,1032,0.0553,0.1266,58053,1.91e114,
security-CVE-VarelaVaca2020-2020-12410,619,1383,1.6596e-06,619,1405,0.8109,4.1532,3941,9592,
systems_software-uClibc-Pett2023-2008-10-30_08-05-36,234,1718,1.1921e-06,234,1952,0.0898,0.1617,12223,1.13e24,
security-CVE-VarelaVaca2020-2012-6633,110,88,1.6317e-06,110,102,1.4019,1.5048,459,772,
systems_software-BusyBox-Pett2021-2008-06-01_22-36-39,544,587,1.3448e-06,544,1131,0.0525,0.0948,26617,2.49e125,
security-CVE-VarelaVaca2020-2013-2201,118,96,1.6224e-06,118,110,1.9604,1.9914,464,864,
systems_software-aeb-Berger2013,1214,3767,1.3113e-06,1214,4981,0.9185,Timeout,,,
security-CVE-VarelaVaca2020-2011-0072,206,137,1.5367e-06,206,157,0.0664,0.1009,626,816,
security-CVE-VarelaVaca2020-2016-1976,339,1105,1.3318e-06,339,1128,0.3705,1.2433,1690,10352,
systems_software-BusyBox-Pett2021-2009-03-20_22-17-13,577,617,1.7360e-06,577,1194,0.061,0.1656,102989,4.13e130,
security-CVE-VarelaVaca2020-2009-2654,127,105,1.3039e-06,127,120,2.4386,2.5995,665,464,
security-CVE-VarelaVaca2020-2015-0799,309,507,1.6652e-06,309,532,0.2208,0.8003,1264,1204,
systems_software-sparclite_sim-Knüppel2017,1181,816,1.7080e-06,1181,1980,0.5492,Timeout,,,
systems_software-BusyBox-Pett2021-2008-01-08_20-32-12,490,524,1.8999e-06,490,1014,0.0517,0.0865,28831,5.31e111,
security-CVE-VarelaVaca2020-2015-4522,327,551,1.2014e-06,327,569,0.2466,0.9995,1354,1308,
systems_software-snds-Knüppel2017,1231,872,1.6410e-06,1231,2086,0.8716,Timeout,,,
systems_software-Fiasco-Pett2023-2020-04-14_11-39-31,249,1390,1.5646e-06,249,1639,0.092,1.316,41020,2.23e8,
systems_software-flexanet-Knüppel2017,1278,925,1.6559e-06,1278,2186,0.6651,Timeout,,,
systems_software-stb-Knüppel2017,1265,860,1.4715e-06,1265,2108,0.8146,Timeout,,,
security-CVE-VarelaVaca2020-2016-1521,552,978,1.4231e-06,552,1012,0.4587,1.6409,3190,6856,
security-CVE-VarelaVaca2020-2014-1481,588,667,1.6373e-06,588,738,0.4022,0.8373,2991,2764,
security-CVE-VarelaVaca2020-2015-4495,351,553,1.6373e-06,351,591,0.292,0.9897,1729,1320,
security-CVE-VarelaVaca2020-2012-0458,352,293,1.4585e-06,352,319,0.1521,0.2377,1549,1544,
security-CVE-VarelaVaca2020-2014-1588,395,568,1.5348e-06,395,588,0.2444,0.7631,1536,1936,
security-CVE-VarelaVaca2020-2017-17092,480,452,1.4044e-06,480,470,0.6066,3.9312,1910,2672,
security-CVE-VarelaVaca2020-2010-0175,245,204,1.3355e-06,245,226,0.081,0.1138,948,948,
security-CVE-VarelaVaca2020-2014-1487,588,667,1.8738e-06,588,738,0.4441,0.8108,2672,2764,
systems_software-uClibc-Pett2023-2010-03-12_14-47-15,245,1737,1.7080e-06,245,1982,0.0903,0.2344,40287,3.49e26,
systems_software-BusyBox-Pett2021-2007-11-22_01-10-41,481,516,1.6205e-06,481,997,0.0528,0.0729,5213,3.05e110,
security-CVE-VarelaVaca2020-2014-1504,402,530,1.5646e-06,402,572,0.282,0.6602,2384,1856,
systems_software-uClibc-Pett2023-2013-03-14_22-27-19,250,1401,1.3653e-06,250,1651,0.08,0.1439,7354,1.71e29,
security-CVE-VarelaVaca2020-2016-2814,353,840,2.0564e-06,353,860,0.2844,1.1415,1696,5792,
security-CVE-VarelaVaca2020-2016-6565,104,89,1.5311e-06,104,105,1.3972,1.4755,235,352,
security-CVE-VarelaVaca2020-2015-4507,318,550,1.7583e-06,318,566,74.111,75.926,962,1280,
systems_software-fads-Knüppel2017,1200,829,1.5404e-06,1200,2012,0.6384,Timeout,,,
security-CVE-VarelaVaca2020-2015-4474,330,549,1.6131e-06,330,574,0.2451,0.921,1279,1288,
systems_software-BusyBox-Pett2021-2008-10-21_17-14-26,559,579,1.9502e-06,559,1138,0.052,0.1174,63880,3.07e127,
security-CVE-VarelaVaca2020-2015-7181,424,558,1.5236e-06,424,578,0.2904,1.1463,2039,1688,
security-CVE-VarelaVaca2020-2012-4183,486,527,1.9539e-06,486,588,0.2569,0.4263,3484,2164,
systems_software-Fiasco-Pett2023-2020-05-19_11-29-13,248,1422,1.5479e-06,248,1670,0.0908,2.1924,16721,2.23e8,
security-CVE-VarelaVaca2020-2014-1482,588,667,1.5125e-06,588,738,0.4012,0.8542,3912,2764,
security-CVE-VarelaVaca2020-2014-1578,284,468,1.3001e-06,284,488,0.1889,0.6696,1427,1128,
systems_software-jtst-Knüppel2017,1254,891,1.5758e-06,1254,2128,0.6378,Timeout,,,
systems_software-uClibc-Pett2023-2016-12-31_06-13-53,236,1234,1.8850e-06,236,1470,0.0759,0.1443,17140,2.98e27,
security-CVE-VarelaVaca2020-2015-4481,336,795,1.7677e-06,336,825,0.3273,0.9574,1965,5432,
systems_software-BusyBox-Pett2021-2009-04-25_13-16-53,578,619,2.1197e-06,578,1197,0.0642,0.1368,50795,1.61e131,
security-CVE-VarelaVaca2020-2012-3959,487,525,1.7248e-06,487,591,0.2363,0.4091,3984,2092,
systems_software-uClibc-Pett2023-2010-04-29_17-17-18,250,1746,2.1048e-06,250,1996,0.0977,0.1616,22783,1.41e27,
security-CVE-VarelaVaca2020-2018-21004,214,1,1.3616e-06,214,15,21.8095,22.3751,413,804,
systems_software-BusyBox-Pett2021-2007-10-07_17-06-26,472,507,1.5590e-06,472,979,0.0513,0.1255,62010,3.12e108,
systems_software-soletta-Pett2023-2015-06-30_14-59-31,101,186,1.5255e-06,101,287,0.0222,0.0329,296,3.62e17,
systems_software-vrc4373-Knüppel2017,1260,860,1.4994e-06,1260,2103,0.6759,Timeout,,,
systems_software-uClibc-Pett2023-2014-12-12_16-18-12,241,1407,1.3206e-06,241,1648,0.0833,0.1517,10956,7.79e28,
systems_software-BusyBox-Pett2021-2007-10-13_03-36-03,472,508,1.6019e-06,472,980,0.0543,0.0866,23558,1.59e108,
security-CVE-VarelaVaca2020-2015-4514,331,557,1.6931e-06,331,575,0.2529,1.003,1300,1324,
systems_software-BusyBox-Pett2021-2009-04-02_10-02-37,575,615,1.5870e-06,575,1190,0.0583,2.03,2595,2.07e130,
security-CVE-VarelaVaca2020-2012-0457,363,294,1.5888e-06,363,320,0.1571,0.2766,1702,1596,
systems_software-gps4020-Knüppel2017,1226,876,1.3113e-06,1226,2085,0.5987,Timeout,,,
systems_software-viper-Berger2013,1302,3230,1.4249e-06,1302,4532,0.5643,Timeout,,,
security-CVE-VarelaVaca2020-2019-15238,159,1,1.7453e-06,159,15,7.0234,7.2089,303,584,
security-CVE-VarelaVaca2020-2014-9037,146,115,1.8831e-06,146,136,0.0675,0.1083,704,988,
security-CVE-VarelaVaca2020-2015-2715,302,507,2.0191e-06,302,527,0.2387,0.8766,1188,1200,
security-CVE-VarelaVaca2020-2012-4194,503,542,1.3728e-06,503,603,0.2546,0.4463,3908,2264,
systems_software-fads-Berger2013,1188,3008,2.3078e-06,1188,4196,0.5027,Timeout,,,
systems_software-uClibc-Pett2023-2012-05-21_22-20-04,246,1317,1.5292e-06,246,1563,0.0731,0.1196,7624,7.13e28,
systems_software-assabet-Berger2013,1267,3883,1.7304e-06,1267,5150,0.7718,Timeout,,,
security-CVE-VarelaVaca2020-2019-11734,461,1208,2.0135e-06,461,1226,269.2944,271.5302,2714,8944,
security-CVE-VarelaVaca2020-2014-1552,415,578,1.7118e-06,415,598,0.3398,0.854,1800,1944,
security-CVE-VarelaVaca2020-2010-3170,276,235,1.3858e-06,276,257,0.0975,0.1679,1044,1072,
security-CVE-VarelaVaca2020-2014-1514,590,672,1.5888e-06,590,740,0.4157,0.9216,2529,2792,
security-CVE-VarelaVaca2020-2016-5256,354,893,1.7434e-06,354,911,108.5896,109.3566,1348,5804,
security-CVE-VarelaVaca2020-2008-4061,180,138,1.2014e-06,180,169,0.0575,0.0692,800,624,
security-CVE-VarelaVaca2020-2019-14799,285,270,1.5199e-06,285,286,61.6439,61.4832,688,1076,
security-CVE-VarelaVaca2020-2016-5273,354,893,1.6242e-06,354,911,108.413,108.3256,1348,5804,
systems_software-BusyBox-Pett2021-2008-10-20_08-43-10,560,580,1.3225e-06,560,1140,0.0514,0.1101,52171,6.11e127,
security-CVE-VarelaVaca2020-2012-3966,447,525,2.0862e-06,447,553,0.2097,0.4463,2661,2096,
systems_software-BusyBox-Pett2021-2008-01-28_22-47-03,493,525,1.4957e-06,493,1018,0.0565,0.0875,25038,2.44e112,
finance-bank-AlHajjaji2019,176,4,1.6429e-06,176,144,0.0175,0.0303,212,5.26e31,
security-CVE-VarelaVaca2020-2019-15647,113,1,1.5534e-06,113,15,2.1633,2.1837,211,400,
security-CVE-VarelaVaca2020-2013-6671,582,664,1.4380e-06,582,732,0.4249,0.8543,2605,2740,
security-CVE-VarelaVaca2020-2015-7184,320,554,1.5106e-06,320,570,77.8105,78.3793,968,1288,
security-CVE-VarelaVaca2020-2018-6465,106,1,1.4193e-06,106,15,1.8609,1.8707,197,372,
security-CVE-VarelaVaca2020-2018-0579,114,1,1.4640e-06,114,15,2.4056,2.4481,213,404,
security-CVE-VarelaVaca2020-2008-0412,151,118,1.6354e-06,151,140,0.0483,0.0617,595,544,
security-CVE-VarelaVaca2020-2011-3079,2815,2927,1.5665e-06,2815,2962,26.7558,1071.0493,11005,11880,
security-CVE-VarelaVaca2020-2020-6825,891,1633,2.2594e-06,891,1659,1.2514,5.4434,4976,11172,
security-CVE-VarelaVaca2020-2009-2432,128,99,1.1940e-06,128,117,0.0472,0.0721,523,692,
security-CVE-VarelaVaca2020-2012-3385,113,91,1.7937e-06,113,105,1.5057,1.6085,455,816,
systems_software-Fiasco-Pett2023-2020-10-20_12-35-53,253,1540,2.3786e-06,253,1793,0.1075,0.4872,13361,2.28e8,
security-CVE-VarelaVaca2020-2014-1539,416,877,1.7956e-06,416,901,0.326,0.7834,1988,6056,
security-CVE-VarelaVaca2020-2016-2831,375,884,1.3877e-06,375,918,0.3653,1.3402,2187,5820,
security-CVE-VarelaVaca2020-2014-1522,394,534,1.4324e-06,394,566,0.2758,0.6215,1606,1876,
security-CVE-VarelaVaca2020-2013-5599,475,578,1.5050e-06,475,606,0.3074,0.6433,2997,2332,
security-CVE-VarelaVaca2020-2016-2810,390,1160,1.5683e-06,390,1186,89.5378,89.2941,1820,279760,
systems_software-soletta-Pett2023-2015-12-17_17-14-39,324,1071,1.7285e-06,324,1395,0.0624,0.0774,19252,3.30e37,
systems_software-BusyBox-Pett2021-2010-05-09_00-13-40,631,681,1.5404e-06,631,1312,0.0626,0.1548,76925,3.60e141,
security-CVE-VarelaVaca2020-2010-0181,168,140,1.5441e-06,168,158,0.0613,0.1073,526,616,
security-CVE-VarelaVaca2020-2019-15643,154,1,1.3504e-06,154,15,6.1537,6.2623,293,564,
security-CVE-VarelaVaca2020-2013-0765,345,468,1.8161e-06,345,497,0.1874,0.431,1688,1556,
security-CVE-VarelaVaca2020-2011-4957,101,79,1.3001e-06,101,93,1.0136,1.0839,419,680,
systems_software-uClibc-Pett2023-2018-01-02_03-07-47,235,1404,2.1681e-06,235,1639,0.0869,0.1182,6481,1.75e26,
systems_software-BusyBox-Pett2021-2008-02-27_11-54-59,546,582,1.9539e-06,546,1128,0.0541,1.7065,1691,2.84e126,
security-CVE-VarelaVaca2020-2013-1692,384,514,1.2442e-06,384,538,0.222,0.5145,2117,1760,
security-CVE-VarelaVaca2020-2013-1681,378,508,1.7919e-06,378,532,0.2183,0.5232,2087,1732,
security-CVE-VarelaVaca2020-2015-7214,350,810,1.3802e-06,350,839,0.3427,1.02,2012,5744,
systems_software-at91sam7sek-Knüppel2017,1309,917,2.1160e-06,1309,2209,0.7713,Timeout,,,
security-CVE-VarelaVaca2020-2013-5592,242,403,1.4994e-06,242,419,25.7063,25.8127,833,956,
security-CVE-VarelaVaca2020-2013-1673,239,575,1.5981e-06,239,595,22.6071,22.6505,956,2660,
systems_software-BusyBox-Pett2021-2008-03-17_09-21-26,545,579,1.5125e-06,545,1124,0.053,0.1269,54108,2.28e126,
security-CVE-VarelaVaca2020-2011-2670,127,111,1.8533e-06,127,125,2.8511,3.0257,304,460,
security-CVE-VarelaVaca2020-2015-9314,107,1,1.4119e-06,107,15,1.8273,1.8399,199,376,
systems_software-BusyBox-Pett2021-2007-11-15_07-02-55,477,513,1.6335e-06,477,990,0.0511,0.0883,29174,3.34e109,
security-CVE-VarelaVaca2020-2011-3000,370,310,1.3467e-06,370,332,0.1522,0.2887,1566,1536,
security-CVE-VarelaVaca2020-2011-2995,370,310,1.7546e-06,370,332,0.1676,0.29,1489,1536,
security-CVE-VarelaVaca2020-2012-5835,509,549,1.8366e-06,509,610,0.2853,0.4345,3953,2288,
systems_software-cdl_linux-Knüppel2017,1245,859,1.4957e-06,1245,2086,0.6058,Timeout,,,
security-CVE-VarelaVaca2020-2019-14800,286,271,1.6894e-06,286,287,62.4842,63.3756,690,1080,
systems_software-innovator-Berger2013,1257,50452,1.9968e-06,1257,51709,83.0545,Timeout,,,
security-CVE-VarelaVaca2020-2020-15659,925,1671,1.5628e-06,925,1706,1.4943,6.0167,7580,11272,
systems_software-phycore-Knüppel2017,1287,892,2.2762e-06,1287,2162,0.6228,Timeout,,,
security-CVE-VarelaVaca2020-2013-1670,379,508,1.7341e-06,379,533,0.2312,0.5415,2098,1732,
systems_software-soletta-Pett2023-2016-05-10_15-10-10,410,1617,1.6876e-06,410,2027,0.1054,0.4899,137919,1.68e43,
systems_software-Fiasco-Pett2023-2020-12-01_14-09-14,253,1542,1.7714e-06,253,1795,0.1047,0.4915,13364,2.23e8,
security-CVE-VarelaVaca2020-2016-1522,222,172,1.5926e-06,222,198,0.1197,0.2507,941,1112,
systems_software-eb40a-Knüppel2017,1254,890,1.2703e-06,1254,2127,0.6231,Timeout,,,
security-CVE-VarelaVaca2020-2016-2819,376,884,1.1344e-06,376,919,0.4172,1.2668,2176,5820,
security-CVE-VarelaVaca2020-2007-5340,143,110,1.4417e-06,143,132,0.0419,0.056,463,512,
security-CVE-VarelaVaca2020-2012-4182,488,532,1.4640e-06,488,593,0.2464,0.4165,3638,2164,
systems_software-edb7xxx-Berger2013,1247,3812,1.7527e-06,1247,5059,0.6204,Timeout,,,
security-CVE-VarelaVaca2020-2017-7761,487,1502,1.9129e-06,487,1528,0.6302,2.2618,2977,10960,
security-CVE-VarelaVaca2020-2013-1729,245,584,1.3690e-06,245,604,25.2111,25.2373,941,3488,
security-CVE-VarelaVaca2020-2020-4049,392,360,1.1604e-06,392,381,0.3706,1.885,1421,1916,
security-CVE-VarelaVaca2020-2019-8942,490,461,1.3988e-06,490,480,0.8571,4.109,1722,5568,
security-CVE-VarelaVaca2020-2011-2997,219,175,1.2666e-06,219,195,0.1003,0.1588,790,928,
systems_software-BusyBox-Pett2021-2009-08-13_00-59-32,594,648,1.6317e-06,594,1242,0.0576,0.2357,123637,7.85e133,
systems_software-BusyBox-Pett2021-2010-03-15_15-38-09,623,682,1.6801e-06,623,1305,0.0621,0.1397,43961,7.89e139,
security-CVE-VarelaVaca2020-2015-4519,327,551,1.4696e-06,327,569,0.2505,1.0035,1138,1308,
security-CVE-VarelaVaca2020-2017-7767,487,1502,1.4156e-06,487,1528,0.5894,2.2952,2932,10960,
